scenario,collisionRatePct,completionPct,meanReplanLatencyMs,meanPathSmoothness,minTTC,avgEmergencyBrakingEvents,avgSpeed
village,0,100,4.25419388663911,0.290883246010471,1,0.8,5.93242077622549
intersection,0,100,2.32276024793388,0.0561661214730731,1.7,0,7.88312332290601
highway,0,100,3.84759336213668,0.263099296686576,0.5,0,14.3892558217565
market,20,60,8.35327164395816,0.369269999456685,0,19.4,1.87049845632406
cattle,20,80,5.99872015096856,0.404442880973962,0,10.6,4.39585281649006
